Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Setas de Sevilla,1775818632-7,Civitatis,2/6/2025,No especificado,No especificado,Viajó solo,"Puntual, a pesar de la gran afluencia de visitantes, una proyección muy bonita. Gran panorama.
																			",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039585-7,Civitatis,7/2/2026,No especificado,No especificado,Viajó en pareja,Super divertido.. Antonio nos enseñó una parte de Sevilla que no podrías entender de forma individual.,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828951-2,Civitatis,14/02/2026,No especificado,No especificado,Viajó en pareja,"A pesar de la cancelación inicial de la hora prevista a las 9:30, hcimos el tour por la tarde a las 18:00 y nos gusto mucho.",España,Residente,Aragón
Free tour por Sevilla,1775829020-10,Civitatis,23/01/2026,No especificado,No especificado,Viajó con hijos mayores,"Olga, la guía, nos explicó todo perfecto, muy agradable y muy maja. La visita muy didáctica y muy, muy amena. Haciendo partícipes a todo el grupo.",España,Residente,Aragón
Real Alcázar de Sevilla,1776038256-17,Civitatis,3/4/2025,No especificado,No especificado,Viajó en pareja,"La visita fue genial, el guía Julián explicó todo muy bien y muy ameno. Pasamos un rato muy agradable con él. Y el Alcázar una maravilla.",España,Residente,Aragón
Tour misterios y leyendas de Sevilla,1776039657-8,Civitatis,16/11/2025,No especificado,No especificado,Viajó en pareja,Antonio nos solo nos guió sino que casi teatralizó las leyendas y misterios. Muy ameno y recomendable.,España,Residente,Comunidad de Madrid
Catedral de Sevilla,1776037952-7,Civitatis,28/04/2025,No especificado,No especificado,Viajó en pareja,"Estuvo genial y Carmen, nuestra guía , lo hizo muy bien y ameno",España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039793-4,Civitatis,23/01/2026,No especificado,No especificado,Viajó con amigos,Excelente alvaro,España,Residente,No especificado
Paseo privado en calesa,1775816204-1,Civitatis,22/11/2025,No especificado,No especificado,Viajó con amigos,"Nos ha encantado!!!! Hemos disfrutado muchísimo del paseo, Juan es un gran profesional y Julia es una Yegua preciosa! Muy muy satisfechas y agradecidas!!!!",España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039161-18,Civitatis,18/03/2025,No especificado,No especificado,Viajó en pareja,"Manuel, el de los bigotes, nos explicó perfectamente los detalles de este tour.
Muy recomendable, me quedé enamorada de este barrio",España,Residente,Comunidad Valenciana
Barrio Santa Cruz,1776039052-14,Civitatis,22/10/2025,No especificado,No especificado,No especificado,"Muy dinámica, divertida e interesante. Nos encantó repetiríamos sin duda.",España,Residente,Galicia 
Barrio Santa Cruz,1776039140-17,Civitatis,15/04/2025,No especificado,No especificado,Viajó con hijos pequeños,Un guía muy majo y nos gustó mucho sus explicaciones y curiosidades de Sevilla,España,Residente,Comunidad de Madrid
Barrio Triana,1776038786-11,Civitatis,21/12/2025,No especificado,No especificado,Viajó en pareja,"Excelente free tour por Triana. Marta es una guía fantástica: cercana, apasionada y con un conocimiento enorme del barrio. Nos contó muchísimas historias y curiosidades que hicieron el recorrido súper ameno. Se nota que ama Triana y sabe transmitirlo. Se nos pasó el tiempo volando. Totalmente recomendable.",España,Residente,Castilla y León
Catedral de Sevilla,1776037917-16,Civitatis,7/12/2025,No especificado,No especificado,Viajó con amigos,"Visita cumpliendo el expediente sin más.
Algo falta de organización por parte del personal 
Entrega de auriculares utilizados anteriormente por otros clientes con falta de higiene..
No se entrega material nuevo e higiénico",España,Residente,La Rioja
Real Alcázar de Sevilla,1776038166-12,Civitatis,19/10/2025,No especificado,No especificado,Viajó con amigos,"Nos encanto la visita, mucho mas entretenida y didáctica que un audio libro. No dudaria en repetir",España,Residente,No especificado
Real Alcázar de Sevilla,1776038114-16,Civitatis,15/01/2026,No especificado,No especificado,Viajó en pareja,El guía estuvo muy bien y las explicaciones fueron muy interesantes,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039567-4,Civitatis,30/03/2026,No especificado,No especificado,Viajó con amigos,"Buenas historias, recorrido ameno nada largo y con bastantes paradas. Patricia muy maja.",España,Residente,Principado de Asturias
Archivo de Indias,1776038574-2,Civitatis,24/01/2025,No especificado,No especificado,Viajó con hijos pequeños,Visita guiada por un auténtico experto. Me ha encantado.,España,Residente,No especificado
Setas de Sevilla,1775818503-5,Civitatis,19/09/2025,No especificado,No especificado,Viajó con hijos mayores,Sus instrucciones muy confusas pues nunca nos notificaron que sólo estábamos adquiriendo boletos y los teníamos que retirar en la oficina de ventas del lugar.,No especificado,No especificado,No aplica
Catedral de Sevilla,1775817924-18,Civitatis,14/12/2025,No especificado,No especificado,Viajó en pareja,óptimo,No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039705-10,Civitatis,16/06/2025,No especificado,No especificado,No especificado,Nuestro guía José estuvo fenomenal,España,Residente,No especificado
Museo de Bellas Artes,1775819373-18,Civitatis,19/10/2025,No especificado,No especificado,Viajó en pareja,"Una visita super interesante, con muchísimo conocimiento por parte de Yohanna, nos encantó sobre todo el final",España,Residente,Castilla y León
Paseo por el río Guadalquivir en barco con guía,1775815618-13,Civitatis,1/10/2025,No especificado,No especificado,Viajó en pareja,Muy bonito un guía excelente muy cordial y hace muy agradable el paseo,España,Residente,Cataluña
Free tour por Sevilla,1775828888-1,Civitatis,2/3/2026,No especificado,No especificado,Viajó en pareja,El guía muy bien y ameno en las explicaciones.,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828752-14,Civitatis,31/03/2026,No especificado,No especificado,Viajó con hijos mayores,El guía muy ameno y fue todo genial.Mwrecela pena para situarse en la ciudad.,España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039717-16,Civitatis,6/3/2025,No especificado,No especificado,Viajó en pareja,Interesante y agradable.,España,Residente,No especificado
Setas de Sevilla,1775818531-17,Civitatis,24/08/2025,No especificado,No especificado,Viajó en pareja,"Intentamos comprar las entradas físicamente en el lugar, pero debido a las colas y los horarios impredecibles, no pudimos. Así que al tercer intento las compramos en línea y tuvimos la reserva en 5 minutos. Gracias, excelente servicio.
																			",No especificado,No especificado,No aplica
Setas de Sevilla,1775818690-16,Civitatis,17/02/2025,No especificado,No especificado,Viajó en pareja,"Miguel fue un excelente guía, y aunque el tour es gratuito lo recomiendo mucho porque aún puedes entender algo más de esta hermosa ciudad que es Sevilla.
																			",No especificado,No especificado,No aplica
Catedral de Sevilla,1776037917-3,Civitatis,31/10/2025,No especificado,No especificado,Viajó con hijos mayores,"Una visita totalmente recomendable. Nuestro guía, Carlos, fue simpatiquísimo y se nota que sabe de lo suyo. Lástima que no pudiéramos hacer la visita conjunta a los alcázares porque ya nota había entradas disponibles.",España,Residente,Castilla y León
Barrio Santa Cruz,1776039109-2,Civitatis,22/05/2025,No especificado,No especificado,Viajó solo,Maravillosa actividad con Manuel !!!!,España,Residente,Región de Murcia
Archivo de Indias,1776038484-3,Civitatis,8/11/2025,No especificado,No especificado,Viajó en pareja,La guía fenomenal en sus explicaciones,España,Residente,Aragón
Real Alcázar de Sevilla,1776038223-14,Civitatis,16/03/2026,No especificado,No especificado,Viajó con amigos,"La guía Laura lo explica todo muy bien, con rapidez y claridad, cob muchas reseñas históricas",España,Residente,Comunidad Valenciana
Setas de Sevilla,1775818624-4,Civitatis,25/06/2025,No especificado,No especificado,Viajó en pareja,"Una hermosa experiencia para realizar al atardecer o en la oscuridad dada la iluminación nocturna muy sugerente.
																			",No especificado,No especificado,No aplica
Setas de Sevilla,1775818671-18,Civitatis,30/03/2025,No especificado,No especificado,Viajó en pareja,"Reserva fácil y sin complicaciones, recomendable.
																			",No especificado,No especificado,No aplica
Paseo por el río Guadalquivir en barco con guía,1775815618-2,Civitatis,19/11/2025,No especificado,No especificado,Viajó con amigos,Marcos fue nuestro guía y fue encantador. Nos dió todo tipo de detalles culturales e históricos y disfrutamos mucho del paseo fluvial. Para repetir!!,España,Residente,Comunidad Valenciana
Tour misterios y leyendas de Sevilla,1776039855-9,Civitatis,25/10/2025,No especificado,No especificado,Viajó en pareja,"Me encantó, el guía nos explicó todo de una manera muy amena, sin duda recomendable 100%",España,Residente,Andalucía
Barrio Santa Cruz,1776039168-1,Civitatis,17/03/2025,No especificado,No especificado,Viajó con amigos,"Muy amena, Laura es muy simpática y te explica la historia mu bien",España,Residente,Principado de Asturias
Paseo por el río Guadalquivir en barco con comida,1775815436-1,Civitatis,19/03/2025,No especificado,No especificado,Viajó en pareja,"Una maravilla. Barco no demasiado grande y con todas las comodidades para que te sientas a gusto. Un paseo por el canal del Guadalquivir muy completo (1 hora y media) con un aperitivo de jamón y queso con bebidas de calidad. Muy bien atendidos. Excelentes las explicaciones de Blas, propietario del barco junto con su mujer, que nos acompañaron en todo el recorrido. Las vistas son preciosas y es especialmente bonito al atardecer. Merece la pena. Si volvemos a Sevilla repetiremos!!!",España,Residente,Cataluña
Tour privado por Sevilla,1775826414-3,Civitatis,9/3/2026,No especificado,No especificado,Viajó con amigos,"Nuestro guia Samael ha sido un guia de 10.Su información,explicación histórica y artística nos ha encantado a todo el grupo.El tour por Sevilla ha sido magnífico.",España,Residente,Cataluña
Paseo por el río Guadalquivir en barco con comida,1775815436-3,Civitatis,29/01/2026,No especificado,No especificado,Viajó con hijos mayores,"Buen paseo, un plan tranquilo en Sevilla, hubo poca gente así que se disfruto mucho. Juani es excelente, muy maja y divertida, explicó los puntos turísticos por los que íbamos pasando y alguna anécdota de la cuidad. Como punto a mejorar, debería de haber algún otro guía como apoyo porque aunque la mayoría hablamos español había una pareja inglesa y otra francesa y la pobre llendo de un lado al otro a contar lo mismo en 3 idiomas",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828865-9,Civitatis,10/4/2025,No especificado,No especificado,Viajó en pareja,"El guía genial y el
Recorrido muy interesante . Lo
Recomiendo para hacerte una idea de la ciudad y sus costumbres",España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039096-4,Civitatis,8/3/2025,No especificado,No especificado,Viajó con amigos,Hugo nuestro guía de hoy en el tour Barrio Santa Cruz ha sido estupendo con sus explicaciones relativas a dicho Barrio y leyendas que desconociamos.,España,Residente,Comunidad de Madrid
Archivo de Indias,1776038410-11,Civitatis,11/3/2026,No especificado,No especificado,Viajó en pareja,La visita es muy interesante y el guía nos explicó muchas cosas y muy ameno .,España,Residente,Comunidad de Madrid
Setas de Sevilla,1775818327-7,Civitatis,21/06/2025,No especificado,No especificado,Viajó en pareja,"Me sorprendió bastante , merece la pena visitarlo .",España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039574-18,Civitatis,13/03/2026,No especificado,No especificado,No especificado,Muy amena por cómo la contó el guía.,España,Residente,Comunidad de Madrid
Setas de Sevilla,1775818405-9,Civitatis,12/3/2026,No especificado,No especificado,Viajó con amigos,"Precioso, digno de ver",España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038100-1,Civitatis,8/3/2026,No especificado,No especificado,Viajó en pareja,"La guía, Carmen, genial, pero con la reseva con Civitatis tuvimos problemas. Tras tener confirmación de la reserva, al día siguente nos llamaron desde el touroperador para decirnos que no había plazas en el horario elegido y tuvimos que cambiar a otro que no nos venía tan bien. Además, fuimos al punto indicado de reunión con 20 minutos de antelación y nos tuvieron que acompañar a la puerta del Alcázar donde estaba esperando el grupo. Llegamos 7 min tarde",España,Residente,Comunidad Foral de Navarra
